,Headline,Body text
10,Biden Campaign Considering Using The Internet To Attract Voters,"PHILADELPHIA'Saying it was definitely something they were looking into, officials with Joe Biden's presidential campaign confirmed to reporters Wednesday they were actively exploring the possibility of using the internet to attract voters. 'We may use it, we may not, but yes, it is one of the outreach tools on our radar at this time,' said Biden 2020 co-chair Cedric Richmond, adding that the campaign 'didn't want to get ahead of itself,' but if surveys showed there was a sizable block of registered voters using the technology, it might eventually hire two or three staffers to work on the internet full-time. 'It's pretty cutting-edge stuff. The web can send text and images right to people's computer screens, so it may actually turn out to be an effective means of spreading the vice president's message. And who knows, there might even be a way to raise money through the internet. We'll be conducting more research into the matter as soon as we install the free trial disk we have in our files.' At press time, the Biden campaign had reportedly published a single standard-definition photo of the presumptive Democratic nominee on a Blogger account set to private."
11,Nancy Pelosi Assures Democratic Reps They Don't Need To Try Being Productive During Stressful Pandemic,"WASHINGTON'Encouraging lawmakers to avoid holding themselves to the impossible standard of protecting Americans, Speaker Nancy Pelosi (D-CA) assured Democratic House representatives Wednesday they don't need to try being productive during the stressful pandemic. 'These uncertain times are difficult for everyone, so don't feel like you need to push yourself to constantly come up with detailed plans to avert a new depression,' said Pelosi, insisting that House Democrats should tune out the nagging voice of constituents pressuring them to ease mass suffering by enacting essential social safety measures before it's too late. 'Don't create a bunch of tension in your life by attempting to secure aid to unemployed Americans struggling to pay for basic necessities. Supporting workers is not going to happen anyway, so don't get all stressed. Look, this is not the time to beat yourself up over whether you're doing enough to prevent a cataclysmic economic decline. Take a breather. Sometimes it's better to just plop down on the couch and watch movies all day.' At press time, Pelosi emphasized there would be plenty of time to work on enacting legislation after the pandemic was finished cratering every aspect of American life."
12,"Obama: 'I'm So Proud To Endorse Joe Biden'That's Who They Went With, Huh?'For President'","As the 2020 presidential race heats up, attention has turned to presidential polling and the wisdom of relying on an industry that generally predicted the wrong outcome in 2016. The Onion takes a look at the history of presidential polling. 1935: George Gallup founds American Institute of Public Opinion in attempt to quench his endless thirst for juicy voter gossip.        "
13,"It Was, For, Uh, Medical Reasons,' Says Doctor To Boris Johnson, Explaining Why They Had To Give Him Haircut","LONDON'Calling the procedure 'a fast, er, effective way' to treat symptoms of the Covid-19 virus, doctors at St. Thomas' Hospital reportedly told British prime minister Boris Johnson that the haircut he'd received on Friday 'was for, uh, medical reasons.' 'Well, you see Prime Minister, because of your severe respiratory issues, we, um, actually needed to access that part of your head for a...surgery thing, yes,' said senior clinician Dr. Randal Jensen, taking long, awkward pauses as he looked between his medical charts and Johnson's new head of short, well-coiffed hair. 'Simply put, if we had kept your hairstyle the way it was, you could have risked death or something else, probably. We believe this is because the uh...keratin in your hair is related to your lungs, but don't worry too much about that right now. We actually do it to all our patients. Right, yes, we definitely do that.' At press time, the prime minister had reportedly informed his medical team that after his emergency lifesaving haircut, he'd never felt better. "
14,"I Congratulate Joe Biden, A Very Decent Man,' Says Bernie Sanders In Unprovoked Attack On Democratic Party Unity","As the 2020 presidential race heats up, attention has turned to presidential polling and the wisdom of relying on an industry that generally predicted the wrong outcome in 2016. The Onion takes a look at the history of presidential polling. 1935: George Gallup founds American Institute of Public Opinion in attempt to quench his endless thirst for juicy voter gossip.        "
15,Wisconsin Primary Voters Receive 'I Voted' Gravestones,"As the 2020 presidential race heats up, attention has turned to presidential polling and the wisdom of relying on an industry that generally predicted the wrong outcome in 2016. The Onion takes a look at the history of presidential polling. 1935: George Gallup founds American Institute of Public Opinion in attempt to quench his endless thirst for juicy voter gossip.        "
16,Senator Kelly Loeffler Asks For Prayers After Losing $3 On Single Stock Due To Coronavirus,"WASHINGTON'Begging her constituents to keep her family in their thoughts in the coming days, Sen. Kelly Loeffler (R-GA) asked for Americans to send her prayers in an emotional press conference Tuesday in which she announced that she had lost as much as $3 on a single stock due to the coronavirus. 'I am asking for all of your support in helping me through this difficult time, a time of incalculable financial loss that I hope none of you have to experience,' said the junior Georgia senator, often straining to hold back tears as she told reporters that she and her husband would be spending the coming weeks speaking with financial advisors about how to make sense of this unimaginable fiscal hardship. 'You tell yourself something like this can never happen to you, you pretend you're immune to the terrible effects of this pandemic, but then you check in with your investment advisor and the news is almost too much to bear. Three dollars. Gone forever. When Jeffery and I found out, we cried for hours. I'll never forget the memory of my beloved stock's market value. May God protect the rest of our portfolios during this challenging time.' At press time, Loeffler had started a GoFundMe to recoup the loss and raised over $90,000 in the first few minutes."
17,Georgia Governor Argues That Closing State's Beaches An Attack On Citizens' Fundamental Right To Get Wet 'N' Wild,"ATLANTA'With public health experts decrying his decision last week to reopen the state's beaches, Georgia Gov. Brian Kemp argued Monday that any government action limiting fun in the sun would constitute an infringement upon every citizen's fundamental right to get wet 'n' wild. 'Our forefathers fought and died to ensure future generations of Americans could enjoy certain God-given freedoms, among them the ability to head on down to the beach anytime one likes and have a splish-splashin' good time in the waves,' said Kemp, adding that he had no doubt the American colonists' decision to secede from Great Britain stemmed in part from concerns over whether the crown would continue to guarantee them unfettered access to sunshine, sand, and surf all summer long. 'If we cannot throw on a pair of trunks, wax down our boards, and shred those waves; if we cannot slip on some shades and work on our tans; if girls in bikinis cannot play a simple game of beach volleyball in the sizzlin' hot sun, then who are we, as a people? My God, 'from sea to shining sea''it's right there in the Declaration of Independence.' Kemp went on to state that Georgia's owners of beachfront property were exempt from his order and welcome to continue trammeling upon people's right to enjoy the ocean."
18,Trump Admits 18 New States To Increase Competition For Medical Supplies,"WASHINGTON'In an effort to attract better offers from governors forced into bidding wars over life-saving equipment, President Donald Trump admitted 18 new states Monday to increase competition for medical supplies. 'The free market works best with some healthy competition, so by increasing the number of U.S. states to 68, we can hopefully double the cost of ventilators,' said Trump, who noted that American Samoa, the U.S. Virgin Islands, Guam, the Northern Mariana Islands, Midway Atoll, Toronto, and Tijuana were among the 18 territories that had been fast-tracked into the Union. 'It's important our manufacturers are getting the best prices possible. We're sending 300,000 surgical masks to a new state in the middle of Maine we're calling Clovis. Nobody lives there, but it's going to help drive up demand. The Coral Princess cruise ship is also now a state, a beautiful floating place, and they're looking for PPE, too. We don't have enough for them, but we're looking forward to their bids.' At press time, Trump clarified Puerto Rico would remain an unincorporated territory. "
19,Southern Governors Argue Covid-19 Good Christian Virus That Wouldn't Dare Spread During Church,"TALLAHASSEE, FL'In a bold affirmation of faith during a time of widespread global pandemic, the governors of several Southern states confirmed Thursday they have exempted religious services from their shelter-in-place orders, arguing that Covid-19 is a good Christian virus that wouldn't dare to spread during church. 'As far as I can tell, this coronavirus is an upstanding and righteous disease that knows better than to continue its deadly outbreak within a house of God,' Florida Gov. Ron DeSantis said in a statement later echoed by Govs. Bill Lee of Tennessee, Greg Abbott of Texas, and Tate Reeves of Mississippi. 'If we were talking about some sort of secular, atheistic virus, churchgoers might have cause for worry. But I believe in my heart this highly communicable pathogen will show respect during services and not do anything to harm the Lord's flock on our day of rest. Now, what the virus does to the wicked, sinful people in our community'that's between it and God.' At press time, sources confirmed Southern governors had taken steps to ensure all mosques would be closed indefinitely."
20,Jared Kushner Says States Should Have Planned Ahead Before Joining The Union,"WASHINGTON'Speaking at a press conference to address the growing Covid-19 pandemic, White House senior advisor Jared Kushner admonished resource-stricken states this week that they should have shown some foresight and planned ahead before joining the Union. 'To any governors coming to me and saying the White House hasn't given them what they need, I would urge them to ask why they didn't consider these possibilities centuries ago when they first joined together into a federal republic?' said Kushner, singling out Texas' governor in particular and questioning why the Lone Star state didn't simply start stockpiling their own ventilators or face masks back in 1884 when they allowed the United States to annex them from Mexico.''Some of you, like Massachusetts or Virginia, have actually had several hundred years with the knowledge that our Constitution grants significant independence in resource allocation to individual states. Frankly, you could have decided way back in 1776 that this setup wasn't for you. Instead, you impulsively formed a unified nation without even considering the consequences. I'm sorry if I don't sympathize here.' Kushner stressed that he was tired of hearing excuses from states that didn't begin building a respirator cache in the 18th century because they were busy with westward expansion or that modern germ theory simply had not yet been developed."
21,,
22,Trump Tackles Medical Supply Shortage By Awarding ExxonMobil Contract To Drill For Ventilators In Arctic,"WASHINGTON'Saying there was no way the coronavirus could win with such amazing corporations on their side, President Donald Trump kicked off his plan to tackle the medical supply shortage Tuesday by awarding ExxonMobil an exclusive contract to drill for ventilators in the arctic. 'Today, the heroic crews at ExxonMobil will travel to Alaska's Arctic National Wildlife Refuge, where they will drill 6,000 feet below the earth in search of new, undiscovered mechanical breathing devices,' said Trump, signing the $86 billion deal that gave the oil company sole access to survey, drill, and extract from over 30,000 square miles of 'vast, untapped reservoirs of respiratory ventilators.' 'While this crisis is a challenge, I want to assure the American people that there are millions of medical devices lying just below the arctic surface, and all we need is ExxonMobil's vast network of drilling rigs to find them. That's why we're also announcing the construction of a long-distance ventilator pipeline, as well as an exclusive, multi-billion-dollar contract with Shell to begin extracting ventilators on Native American reservations throughout South Dakota.' At press time, President Trump had reportedly once again downplayed the need for medical supplies after one of ExxonMobil's largest offshore tankers exploded. "
23,Trump Delays Easter To July 15 To Keep Promise On Coronavirus,
24,Trump Announces Plan To Retrain Nation's 3 Million Unemployed Americans As Human Ventilators,"WASHINGTON'Taking drastic action to address the country's critical medical supply shortages as well as rising jobless claims, President Donald Trump announced a plan Friday to retrain the nation's 3 million unemployed Americans to work as human ventilators. 'We're going to put Americans back to work by teaching them to lock lips with infected coronavirus patients and pump air into and out of their lungs,' said Trump, who explained how the Department of Labor would be giving all out-of-work Americans an opportunity to take an accelerated training course to learn how to successfully provide ventilatory assistance to Covid-19 patients with their mouths. 'States asked for help, and we've listened. This is going to save hundreds, potentially thousands of lives, and put our nation's great service workers back on their feet. There are thousands of very, very sick people waiting across the country with their mouths gaping open.' At press time, Trump told reporters that if unemployment numbers continue to rise, that many of the jobless could take on roles as hospital beds."
25,What's In Congress' Coronavirus Stimulus Bill,"After days of frenzied negotiations, Congress passed a $2 trillion stimulus package to address economic issues caused by the coronavirus, the largest such aid package in U.S. history. The Onion takes a look at what's in the stimulus bill. Direct payments of $1,200 for single Americans, $2,400 for married couples, and $3,000 for those playing the field. $32 billion to an airline industry that charged you for a blanket on your last flight. Paywall taken off U.S. Unemployment Office website. More protections than you'd think necessary to safeguard American people from their president. Lot of money the government has spent decades telling Americans it didn't have and couldn't spend. Probably something that sounds very good and turns out to be very bad. Five dollars to Senator Ron Johnson for winning betting pool that Rand Paul would get virus first. Every family will receive $500 per child, but officials may not come to collect the children until May. Federal aid for independent contractors, such as Uber drivers and assassins. A stern reminder that this is a one-time thing."
26,"Congress Sets Aside $1,200 In Trust For Each American Until They Prove They're Responsible Enough To Handle It","WASHINGTON'Following days of partisan gridlock over its emergency economic stimulus plan, Congress announced sweeping new legislation Wednesday that would place $1,200 into trust funds for each individual American until they have proved they're actually responsible enough to handle it. 'We've given this a lot of thought and decided that instead of mailing out checks, we will put this money into 330 million separate accounts that you'll be able to access when you're a little bit older and can show you've developed some real maturity,' Senate Finance Committee Chairman Chuck Grassley (R-IA) said as he sought to assure the nation that one day the U.S. populace would thank both houses of Congress for choosing to handle its historic $2 trillion relief plan in this way. 'Now, don't look so glum. We know you want to have it now, but it took us quite a bit of negotiating to get this money together, and we want to make sure you aren't just going to run out and blow it all on a bunch of stuff you don't need. So, keep your nose out of trouble, and one day this fund will be there waiting for you when you want it for something really important.' At press time, Grassley explained how multinational corporation Boeing could receive money from the federal government anytime it wanted because it had already won over lawmakers by generously spending so much money since its last bailout on donations to congressional campaigns."
27,Trump's Call To Reopen Economy Attributed To New Floating Virus Cloud Advisor,
28,Trump Suggests Ceding New York To Coronavirus As Possible Appeasement Strategy,"WASHINGTON'Mulling solutions to stop the disease's rapid spread across the country, President Donald Trump reportedly suggested Tuesday ceding New York to the coronavirus as a possible appeasement strategy. 'We are committed to looking at all options as we work through the invasion of this virus on our shores, including ceding at least the city of New York and potentially the entire state in order to meet the virus halfway and spare the rest of America from further suffering,' said Trump at a press conference, adding that his understanding of what the coronavirus wanted led him to believe that New York's 54,000 square miles and nearly 20 million residents would be sufficient to placate the respiratory disease. 'We're not in a good situation right now, but I think we can find a solution that will make me happy, make the American people happy, and make the virus happy. This is a win-win and everyone gets what they want. This is a big, big change, but in the end we're going to like the final result. I think this is a sacrifice everyone is willing to make. The virus should know that we respect where it's coming from and how dangerous it is, which is why we're offering a very big state. This is a very smart virus and it will know a good deal. I'd take this deal if I were the virus. Some of my advisors suggested Rhode Island or New Hampshire, but I know that won't be enough. We're hoping the coronavirus will be reasonable. We're hoping that if we give the coronavirus New York that will be enough and it will go back to China or Italy or wherever it came from. Maybe we'll throw in New Jersey as well.' New York governor Andrew Cuomo said he was willing to work with Trump but that ceding the entire state to the coronavirus was too much, and asked if he could reduce the offering to just the state's prisons and migrant detention centers."
29,Trump Urges Loosening CDC Restrictions To Let Coronavirus Get To Work,"WASHINGTON'Calling for an end to precautions such as social distancing and shelter-in-place mandates, President Donald Trump urged the loosening of CDC restrictions Tuesday to let Covid-19 get to work. 'The economy is hurting'we must send the coronavirus back into our office buildings, schools, and factories,' said Trump, explaining that the nation cannot risk the possibility of the number of new cases and deaths crashing. 'We need those numbers up! This is America, and work is important here. Without work, the virus has no purpose. Right now, there are millions of virus particles just sitting around and doing nothing. The coronavirus wants to work, so we're going to put it back to work as soon as possible.' At press time, the Dow had skyrocketed as the coronavirus returned in full strength back into the American workforce."
30,GOP Urges End Of Quarantine For Lifeless Bipedal Automatons That Make Economy Go,"WASHINGTON'In an effort to contain the disastrous financial fallout resulting from the spread of Covid-19, economic advisor Larry Kudlow joined numerous GOP leaders Monday in urging an end of self-quarantine for the lifeless bipedal automatons that make the economy go. 'We can't allow this virus to completely upend American life, so we are recommending that these soulless humanoid contraptions return to powering the country as soon as possible,' said Kudlow, noting that the upright, unthinking facsimiles needed to return to their primary function of lifting GDP and improving the stock market. 'We believe this group of insentient golems to be relatively low-risk due to their lack of a respiratory system, and right now, they're just gathering dust being stuck in their storage containers. Of course, we continue to recommend extreme caution and social distancing for any actual humans who may come into contact with these unthinking, unfeeling entities.' Ludlow added that to be extra cautious, any automatons who felt unwell should power down for the next two to three weeks."
31,Richard Burr Wondering When Profiting Off Mass Suffering Suddenly Became A Crime In This Country,"WASHINGTON'Admitting he was blindsided by the hysterical reaction to a pretty normal transaction, North Carolina Senator Richard Burr wondered Friday when profiting off mass suffering had suddenly become a crime in this country. 'Jesus Christ, when did everyone get so uptight about this? I remember when we used to celebrate people who used their talent and connections to get rich from death and anguish,' said Burr, who claimed what he did was no different than what many successful, patriotic Americans have been doing for hundreds of years. 'Even Tucker Carlson is being a little bitch about this. What's the big deal? Didn't we all decide this was cool in the 2008 recession? Last time I checked, using sensitive information to enrich yourself at the expense of hundreds of millions of other people was totally fine. I talked to Kelly [Loeffler] and Ron [Johnson] about cashing out, and nobody even batted an eye. What's the point of being a senator if you can't profit off the world's problems? I'm making money, not losing it, but I guess jealous people have decided that becoming rich and powerful from a national tragedy is suddenly evil. There's something seriously wrong with this country.' At press time, Burr announced his intentions to resign after shamefully admitting he only pulled in a 22% return from his insider trading."
32,Trump Administration Releases Best Case Scenario Projections For Coronavirus Where 8 Million Iranian People Die,"WASHINGTON'Striking an optimistic note in his daily press briefing about the global pandemic, President Donald Trump spoke to reporters Thursday, detailing his administration's best case scenario projections for coronavirus where eight million Iranian people are killed. 'If we're very lucky, we could be looking at many millions of dead Iranians, which is why we must do everything in our power to act,' said Trump, confirming that the U.S. government would be pouring resources into continued sanctions and military action against Iran to boost those numbers. 'We're taking this very seriously and monitoring the situation at all times, and we're hopeful that we could hit this target, or maybe even go past it, but the reality is, this is just a projection and it could tragically be as low as three or four million. We need help from every sector to make sure these citizens are unable to receive medical assistance and continue dying in the street.' When pressed by reporters, Trump acknowledged that the time had come to confront the ugly reality that at least some Iranians would survive."
33,Trump Seeks To Stimulate Economy By Sending Rare Autographed Photo To Every American,"WASHINGTON'With markets plummeting and many workers losing jobs as the coronavirus pandemic wreaks havoc on businesses, President Donald Trump announced Thursday a plan to stimulate the economy by sending a rare autographed 8-by-10-inch glossy photograph of himself to every U.S. resident. 'We know people are hurting financially, so in order to assist them at this critical time, I will be sending out these exclusive and very high-quality signed Donald J. Trump headshots to every American,' said the president, explaining that the approximately 330 million recipients of the exclusive collector's items could sell them for a hefty sum and then use the cash to cover rent, groceries, and medical bills, which would, in turn, pump billions of dollars back into the economy. 'Look, I'm a pretty well-known guy, so these things should definitely fetch a nice price and be a huge help to our workers, sustaining them through a difficult moment in our country's history. All we ask is that you do choose to sell them and spend the money now, for the sake of the economy, rather than holding on to these beautiful, limited-edition keepsakes as they inevitably appreciate in value. This is truly the stimulus we've all been waiting for.' At press time, critics had assailed Trump for exploiting a loophole in the new plan that allows him to send large corporations hundreds of thousands of extra autographed photos of himself."
34,Triumphant Jared Kushner Announces Plan To Move CDC Headquarters To Jerusalem,"WASHINGTON'Celebrating his own ingenuity in the face of the Covid-19 outbreak, President Donald Trump's senior advisor and son-in-law Jared Kushner triumphantly announced his new plan Thursday to move the Centers for Disease Control headquarters to Jerusalem. 'The dire situation with the coronavirus demands bold solutions, and the time is now to move the CDC headquarters thousands of miles across the Atlantic,' said Kushner, gesturing to a map of the West Bank and indicating that a Palestinian neighborhood would need to be paved over to begin construction on the state-of-the-art facility. 'While all operations will be delayed for a few months so we can get started, once everything is up and running, we'll be able to address this pandemic from one of the world's most historically significant cities. We're taking the world's best doctors, scientists, epidemiologists, and immunologists to an entirely different continent to solve this global crisis. Finally, we'll be able to streamline collaboration between the CDC and the U.S. Israeli Embassy.' At press time, Kushner announced further plans to build strip clubs on Jerusalem's holy sites for CDC employees who may be homesick for Atlanta."
35,"Trump Quietly Checks With Aides To Make Sure He'd Be Included In Receiving $1,000 Government Checks","WASHINGTON'As his administration makes plans to combat the economic damage caused by the coronavirus with direct payments to Americans, President Donald Trump reportedly conferred with aides behind closed doors Wednesday to confirm he would be among those citizens receiving a pair of $1,000 checks. 'Hey, I'm also getting in on this deal, right?' Trump reportedly said to a White House economic strategist he had pulled aside, asking him to double-check the list of recipients and make sure he was on there, since he was 'an American too, after all,' and it was 'only fair' he receive the same assistance as everyone else. 'How soon are these things coming? Can we expedite them? An extra couple grand would be nice right about now. I should get my check first because I'm president and I've been working hard. Everyone else should get theirs after me. Maybe we could have a televised ceremony where I receive the check. That would boost morale, especially if I got a little more money than everybody else. Also, my kids are going to get them too, right? Is there any way those ones could just be forwarded directly to me?' At press time, sources reported that Trump increased the proposed amount of money Americans would be receiving to $2,687 after learning that taxes would have to be taken out."
36,Conservative Worries Relief Checks Would Discourage Americans From Providing For Selves By Killing Him And Taking His Property,"NEW HAVEN, CT'Speaking out against proposals to provide federal assistance to Americans hardest hit by the pandemic-fueled economic downturn, local conservative Mark Garrett expressed worry Wednesday that relief checks would discourage citizens from learning to provide for themselves by killing him and taking his property. 'People in this country should have enough self-reliance to stand on their own two feet, bust down my door, cut my throat, and seize all of my possessions,' said Garrett, adding that in America, there are plenty of profits to be had by anyone motivated enough to just go out there and forcibly take them. 'There's a real moral hazard here: When you pay people for doing nothing, it rewards them for being too irresponsible to look at all the wealth I've accumulated and realize that if they simply kidnapped my family and held them for ransom, I would eagerly pay it. A resourceful person wouldn't even need a gun, not if they were enterprising enough to come at me with a knife, an ax, or a tire iron. At the end of the day, if you're not willing to murder me while I'm asleep in bed and pocket all my valuables, you're not willing to work.' Garrett went on to ask why federal funds couldn't instead be given to the national guard, which would need to be sent in to impose martial law when the peasants began to riot."
37,Congress Allocates $2 Trillion To Bail Out Struggling Bailout Industry,"WASHINGTON'In order to alleviate the heavy damage the crucial financial sector is facing in the midst of the ongoing Covid-19 outbreak, the United States Congress announced Tuesday that they would be allocating $2 trillion in order to bail out the struggling bailout industry. 'The bailout industry is on the brink of failure, so in order to prevent a full-on catastrophe, we are setting aside $2 trillion in order to bail it out,' said Senate Majority Leader Mitch McConnell (R-KY), adding that the business of giving of massive sums of money to corporations so they can cover their losses is at the very bedrock of the U.S. economic system, and without assistance, the entire bailout industry as we know it could collapse, which could lead to another Great Depression. 'During a crisis like this, the bailout industry is often hit the hardest, so we are taking immediate action, as our economy is deeply dependent on the bailout system; if bailouts can't function, then America can't function. A cash injection is absolutely necessary to make sure these failing businesses can inject cash into failing businesses.' At press time, Congress had signed a bill to allocate funds to bail out their bailout of the bailout industry."
