,Headline,Body text,Meta Tags
10,Atlanta-Area Church To Burn Ceremonially Throughout Olympics,"ATLANTA, GA' In a moving display of the Olympic spirit, the First Baptist Church of Atlanta will burn ceremonially throughout the entirety of the 1996 Summer Games. The 950-member church officially began its 17-day burn Friday evening with a dramatic church-lighting ceremony. ' Let this church inspire all the athletes assembled here to reach higher than they ever dared to dream,'  said William Grommer, U.S. Olympic Committee president. ' Each day the flames rise from the First Baptist Church, our Olympic pride grows stronger.'  Following Grommer' s dedication speech, Grammy-winning pop superstar Celine Dion sang the official Olympic church-burning theme song, ' The Colors of the Congregation.'  WASHINGTON' With its vote to adopt a resolution denouncing the freshman' s congresswoman behavior, the House of Representatives formally censured Alexandria Ocasio-Cortez Friday for employing the sexist slur ' fucking bitch'  in a speech on the House floor the day prior. ' The representative from New York' s 14th District is hereby condemned for her unapologetic enunciation of these hateful, abusive words, which not only brought disgrace to this esteemed body but were incredibly demeaning to all womankind,'  House Minority Leader Kevin McCarthy said as he read aloud the official rebuke, adding that as a woman herself, Ocasio-Cortez should have known better than to speak aloud the unconscionable term, let alone read it into the Congressional Record. ' Her appalling speech of July 23 does not reflect the values of the United States Congress, nor does it reflect the example we wish to set for our children' especially our daughters. While this body will not ask what prompted her to adopt such unprofessional language, it will require the representative to issue an immediate apology to her colleagues or face further disciplinary action for her misconduct.'  In his own words, McCarthy went on to observe that it was too soon to tell just how far back Ocasio-Cortez had set ' young ladies'  in Congress with her ' hysterical'  outburst.","archive, olympics, news in brief, vol 29 issue 24, the onion"
11,Sports,"Olympic mascot Izzy is at it again! When he's not appearing in corporate product placements, he's teaching kids worldwide that America has no cultural identity! WASHINGTON' With its vote to adopt a resolution denouncing the freshman' s congresswoman behavior, the House of Representatives formally censured Alexandria Ocasio-Cortez Friday for employing the sexist slur ' fucking bitch'  in a speech on the House floor the day prior. ' The representative from New York' s 14th District is hereby condemned for her unapologetic enunciation of these hateful, abusive words, which not only brought disgrace to this esteemed body but were incredibly demeaning to all womankind,'  House Minority Leader Kevin McCarthy said as he read aloud the official rebuke, adding that as a woman herself, Ocasio-Cortez should have known better than to speak aloud the unconscionable term, let alone read it into the Congressional Record. ' Her appalling speech of July 23 does not reflect the values of the United States Congress, nor does it reflect the example we wish to set for our children' especially our daughters. While this body will not ask what prompted her to adopt such unprofessional language, it will require the representative to issue an immediate apology to her colleagues or face further disciplinary action for her misconduct.'  In his own words, McCarthy went on to observe that it was too soon to tell just how far back Ocasio-Cortez had set ' young ladies'  in Congress with her ' hysterical'  outburst.","archive, archive, vol 29 issue 24, the onion"
12,Israeli Government Found To Be In League With Jewry,,"world, archive, news in photos, vol 29 issue 24, the onion"
13,Clinton's Head Sawed Off,,"politics, archive, bill clinton, news in photos, vol 29 issue 24, politics"
14,Man With Stupid Breaks Off Co-Dependent Relationship,,"local, archive, news in photos, vol 29 issue 24, local"
15,FAA Assures Public: Air Travel 'Pretty Safe',,"archive, transportation, news in photos, vol 29 issue 24, the onion"
16,Bill Gates To Get Half,"REDMOND, WA' In a move designed to hasten the inevitable, billionaire Microsoft tycoon Bill Gates announced yesterday that from now on, he will be getting half. Gates, whose savvy and aggressiveness propelled his Microsoft corporation to the top of the business world and made him America' s richest man with an estimated fortune of $18 billion, announced his plan at a press conference yesterday from his Seattle-area compound. ' I get half,'  he explained. It has not yet been decided if Gates'  half will be taken straight down the middle or by liquidating all assets and dividing up raw capital. The question will be settled later this week by a special session of Gates'  half of the U.S. Congress. ' Don' t touch anything until you' re sure it' s not part of my half,'  Gates instructed the world' s citizenry yesterday via the several million 40-foot-high projection screens he has scattered throughout the globe. ' I don' t want anyone messing up stuff in my half.'  Until everything can be clearly divided between Gates and persons who are not Gates, measures will be taken to ensure the integrity of Gates'  half. Citizens are instructed to remain in their homes, consuming a carefully monitored minimum of their perishables and subjecting their personal possessions to as little wear and tear as possible. In the event something belonging to Gates is consumed or damaged, Gates announced he will take punitive action, levying fines of up to $14 billion, and may even insist that offenders themselves be included in his half. ' Don' t take from my half,'  the 36-year-old Gates said. ' Ice cream and cool cars are part of my half.'  Gates also expressed interest in possessing Apple, IBM and the former Soviet Union. ' You know, I own the Bettman Archive,'  Gates said. ' You can' t look at it unless I say so.'  Gates'  half will be collected via an advanced subroutine built directly into Windows 95. Computer users without Windows 95 will have it automatically sent to them, with the cost of the program deducted from their half. Those without computers will be directed to special Gates-owned DNA-resequencing centers where a special bio-silicate form of Windows 95 will be injected directly into their bloodstreams. Once in the bloodstream, the Windows program is designed to breed virally at the base of its host brainstem and to begin work on calculating Gates'  half. ' Everyone must contribute to my half,'  Gates said. ' Any number, no matter how small, can be divided into two halves, one of which will be mine.'  Gates would not comment on the possibility of eventually increasing his share from a mere half to a controlling interest. Sources close to Gates would neither confirm nor deny rumors that Gates might offer up to 15 percent of his half in exchange for the other half of the world. ' The transitional period may be difficult,'  Gates said. ' But it will be quick. I hope that this time will be remembered pleasantly in the half of people' s minds that remain their own.' ","bill gates, science & technology, archive, news, vol 29 issue 24, the onion"
17,Bumbling Astronauts Caught in Wacky 'Lunch-Launch' Mix-up,"HOUSTON' The international aerospace community was shocked Monday when the experimental new Phoebus 3 Space Shuttle rocketed into space prematurely, manned only with two bumbling NASA janitorial workers as pilot and crew. As of press time, it is believed that an error in the prelaunch foodstuffs loading procedure is to blame. The mishap is believed to have sprung from the word ' lunch'  being mistaken for the liftoff command ' launch.'  ' According to onboard video footage of the incident, it appears that what we scientists call a ' zany mix-up'  may have occurred,'  said Dr. Heilegge Danzino, chairperson of NASA' s special investigative committee. According to Danzino, the footage shows the two janitors' known only as Barney and Junior' loading and checking the ship' s mealtime nutrient packets. Upon loading the first nutrient parcel, Barney called out to Junior, ' Breakfast,'  and received in turn the reply, ' Check.'  After the second parcel was loaded, Barney said ' Lunch,'  at which point the ship' s rocket boosters ignited. In the ensuing chaos of liftoff, it is difficult to determine exactly what is taking place. However, Barney can clearly be heard booming out to Junior, ' I said lunch, not launch!,'  leading NASA researchers to the ' zany mix-up'  conclusion. Other officials assert the mishap may have been the result of what aeronautics experts term ' wacky antics.'  A battery of emergency competency examinations is currently being taken by all NASA janitorial and maintenance staff members to prevent further errors of this type. Officials stress that the bungling duo is not in danger at present. ' Normally, we' d just radio up re-entry instructions to the capsule and have the whole thing back on the ground in a few hours,'  said Corbin Bursar, a NASA flight control worker. ' But due to the particularly bumbling nature of these two, we' ve only been able to open a one-way radio channel with them, as they haven' t been able to figure out how to turn their helmet radios on.'  ' Unable to communicate with them directly,'  continued Bursar, ' we are nonetheless observing them closely. But so far, they' ve primarily been hitting each other with rolled-up hats.'  Despite the wacky twosome' s lack of trouble so far, many officials still predict disaster. ' The excessively bumbling status of the two workers means I cannot rule out the possibility of unabated, non-stop hijinks,'  NASA Director of Communications Halversom Franks said. ' There is a very real threat that they may get more and more lost, spinning wildly through the airless recesses of the cosmos, having nutty, goofy misadventures along the way.'  NASA did not rule out that these wacky adventures would include visitations to dozens of distant planets made up of foam and plasterboard landscapes reminiscent of the sets of live-action Saturday morning television programs of the late 1970s. Added Franks: ' If they meet and befriend some sort of puppetlike alien sidekick who speaks only in honking sounds, they' re done for.'  Though the two janitors'  pictures have yet to be released to the public, one of them is said to look strikingly similar to actor Bob Denver. The other bears a striking resemblance to actor Chuck McCann, known for his comedic roles in television and the big screen, such as the hit films Cannonball Run and Cannonball Run II. ' It seems obvious now that these two were unfit for capsule flight prep duty,'  said NASA spokesperson Bill Reid. ' They are inarguably nutty, and also, if I may say so, they are far-out. Given their current location in outer space, I do not believe it would be unfair to describe them as Far-Out Space Nuts.'  Flowers and memorial donations may be sent to NASA in the name of the janitors'  families.","science & technology, archive, space, news, vol 29 issue 24, the onion"
18,Young Olympic Hopeful Realizes Dream of Killing Father,"ATLANTA' U.S. Olympic gymnast Dominique Miller, 15, considered a favorite to bring home the gold in Atlanta, achieved her lifelong dream yesterday, killing her father/coach with a 12-gauge shotgun. ' I can' t believe I' ve actually done it,'  said an exuberant, beaming Miller, holding several giant bouquets of flowers given to her by fans. ' This is really a lifelong dream come true' it' s the greatest high a young athlete could ever experience.'  Miller, who had been training with her father, Karl Miller, for the Olympics since age three, realized the longtime dream shortly after finishing second in yesterday' s Olympic qualifying round, shooting him in the chest before hundreds of onlookers. Miller said she had a good feeling about the shot as soon as it left the shotgun. ' I had his heart squarely lined up in the gun sight, and I got a real clean pull on the trigger,'  she said. ' The moment that blast went off and the gun kicked back, I knew I' d landed it perfect.'  One gymnastics judge who happened to witness the event also gave Miller high marks. ' Dominique' s form was perfect' the bullet entered the body cleanly and stuck squarely in the middle of the chest cavity, right between the heart and the sternum,'  said judge Marcy Conners of Canada. ' That' s right where you want it.'  Added Conners: ' I would give this murder a 10.'  For Miller, the slaying represented the culmination of years of hard work. ' I' ve been practicing this routine for years,'  Miller said. ' Every morning at 6, I' d get up early and do an exact run-through, hiding the gun under my bed, sneaking it over to the arena under my coat, and pulling it out from under the table in the trainer' s room.'  Miller almost realized her dream at the ' 92 Barcelona Olympics, but a last-minute trigger-finger injury dashed her hopes. ' I sprained it pretty bad the morning I was going to do it,'  Miller said. ' It was devastating' I thought I' d never be able to come back; I thought I' d be too old to try again in ' 96. But I did it.'  Miller was arrested soon after yesterday' s slaying, charged with second-degree homicide. If found guilty, she could face 30 years in federal prison. ' I' m so excited, I' m not even thinking about prison right now,'  said a detained but triumphant Miller, raising her handcuffed hands and waving to fans. ' Right now I just want to enjoy this moment, enjoy what I' ve achieved. Maybe tomorrow I' ll think about the homicide charges, but right now, this is a time for celebration.'  When asked by one reporter what she will do next, now that she has killed her father, the gymnast replied: ' I' m going to the Andrew B. Stevens Federal Courthouse Building!'  In addition to receiving letters from thousands of fans, Miller has received congratulatory messages from such celebrities as Brooke Shields, Macaulay Culkin and tennis stars Jennifer Capriati and Mary Pierce. ' Congratulations, Dominique!'  read a note from Capriati. ' I' m so proud of you for what you' ve accomplished. It' s something I' ve always dreamed of doing but never got the courage to do. You' re a real champion. P.S.' Will you kill my dad for me?'  Funeral services for Karl Miller are 3 p.m. today at First Presbyterian Church in Atlanta. Second-round Olympic gymnastics events are scheduled for 4 p.m.","local, archive, olympics, olympics 2012, news, vol 29 issue 24, local"
19,U.S. Drug Czar Announces: 'I'm Higher Than Hell Right Now',"WASHINGTON, D.C.' U.S. Drug Czar Richard B. McTaggart, the nation' s Commander in Chief in the War on Drugs, held a press conference yesterday to announce he is ' higher than hell'  after smoking marijuana with some friends. McTaggart, who appeared calm as he addressed reporters and the American public at large, promised he will continue the fulfillment of his duties as U.S. Drug Czar. He stressed the U.S. must wage war on illegal narcotics everywhere and vowed to start directly attacking the problem ' maybe later today, when I' m not so fucking baked.'  McTaggart, appointed by President Clinton in 1992 to replace former Drug Czar William Bennett, has been a tireless advocate for the ' three strikes and you' re out'  policy for drug users. He also spearheaded the recent campaign to suspend Fourth Amendment rights for drug dealers, allowing police officers to seize their property without a warrant. Commented McTaggart: ' The colors, man. Look at the colors.'  According to leading DEA officials, in 1996, more Americans than ever are using drugs, and arrests resulting from drug-related offenses have more than tripled since just 15 years ago. When asked how he plans to attack such an enormous, daunting problem, McTaggart said, ' Please, stop. You' re making my head hurt. I can' t even think about all that crap right now.'  In his quest to stem the tide of drugs, McTaggart is demanding at least $40 million in increased federal aid for drug prevention and awareness programs, tougher jail sentences for repeat offenders, and a large bag of tortilla chips. ' I' ve got a serious case of the munchies,'  McTaggart said. ' Just as soon as I get some food in me I am confident we can take some major strides toward decreasing the use of illegal substances in the U.S.'  President Clinton came to the Drug Czar' s defense in a statement to the press issued by the White House. ' Mr. McTaggart has been a bold and effective leader in America' s ongoing war on drugs, but right now he' s clearly a little high,'  Clinton said. ' I am fully confident that if we leave him alone for a while, and maybe let him take a long nap, he will come back fully restored to once again combat the scourge of narcotics ravaging our nation.'  Clinton also urged all Americans to ' be mellow'  in the presence of the Drug Czar. McTaggart thanked Clinton for his words of support, but countered that he was not merely a little high, but in fact ' fried out of my gourd.'  Sources close to McTaggart say he may be even higher now than last weekend, when he smoked some pot before seeing a movie with a friend. ' The Postmaster General and I pulled four or five bongers apiece before seeing Independence Day,'  McTaggart recalled. ' I don' t even remember how we got to the theater. We were high' but not half as high as I am at this moment.'  Despite his current condition, McTaggart urged all young Americans not to not follow his example, and to stay off drugs. ' I pray that America' s children stay away from this narcotic,'  McTaggart said. ' But if you aren' t going to listen to my warning, or are coerced by drug dealers, I urge you to find some of the good stuff, like Northern Lights or Humboldt homegrown. It' s more expensive, but the results are incredible.' ","politics, archive, drugs, news, vol 29 issue 24, politics"
